seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time,camera
1,"[308, 502, 358, 522]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
2,"[361, 546, 593, 830]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
3,"[360, 601, 988, 1163]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
4,"[429, 641, 1290, 1557]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
5,"[175, 284, 265, 431]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
6,"[179, 293, 478, 596]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
7,"[184, 345, 647, 844]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
8,"[215, 353, 898, 1079]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
9,"[235, 384, 1171, 1328]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
10,"[255, 410, 1422, 1600]",snapshot_1,Absent,18-07-2024 11:31,transformed_cam1.csv
1,"[308, 502, 358, 522]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
2,"[361, 546, 593, 830]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
3,"[360, 601, 988, 1163]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
4,"[429, 641, 1290, 1557]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
5,"[175, 284, 265, 431]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
6,"[179, 293, 478, 596]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
7,"[184, 345, 647, 844]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
8,"[215, 353, 898, 1079]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
9,"[235, 384, 1171, 1328]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
10,"[255, 410, 1422, 1600]",snapshot_2,Absent,18-07-2024 11:35,transformed_cam1.csv
1,"[308, 502, 358, 522]",snapshot_3,Absent,18-07-2024 11:38,transformed_cam1.csv
2,"[361, 546, 593, 830]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
3,"[360, 601, 988, 1163]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
4,"[429, 641, 1290, 1557]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
5,"[175, 284, 265, 431]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
6,"[179, 293, 478, 596]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
7,"[184, 345, 647, 844]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
8,"[215, 353, 898, 1079]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
9,"[235, 384, 1171, 1328]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
10,"[255, 410, 1422, 1600]",snapshot_3,Absent,18-07-2024 11:39,transformed_cam1.csv
1,"[547, 609, 384, 467]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam2.csv
2,"[562, 611, 255, 353]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam2.csv
3,"[554, 612, 174, 241]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam2.csv
4,"[566, 618, 98, 173]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam2.csv
1,"[547, 609, 384, 467]",snapshot_2,Absent,18-07-2024 11:36,transformed_cam2.csv
2,"[562, 611, 255, 353]",snapshot_2,Absent,18-07-2024 11:36,transformed_cam2.csv
3,"[554, 612, 174, 241]",snapshot_2,Absent,18-07-2024 11:36,transformed_cam2.csv
4,"[566, 618, 98, 173]",snapshot_2,Absent,18-07-2024 11:36,transformed_cam2.csv
1,"[547, 609, 384, 467]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam2.csv
2,"[562, 611, 255, 353]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam2.csv
3,"[554, 612, 174, 241]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam2.csv
4,"[566, 618, 98, 173]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam2.csv
1,"[333, 490, 549, 715]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam3.csv
2,"[327, 475, 774, 976]",snapshot_1,Absent,18-07-2024 11:32,transformed_cam3.csv
3,"[300, 454, 968, 1136]",snapshot_1,Absent,18-07-2024 11:33,transformed_cam3.csv
4,"[290, 441, 1162, 1335]",snapshot_1,Absent,18-07-2024 11:33,transformed_cam3.csv
1,"[333, 490, 549, 715]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam3.csv
2,"[327, 475, 774, 976]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam3.csv
3,"[300, 454, 968, 1136]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam3.csv
4,"[290, 441, 1162, 1335]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam3.csv
1,"[333, 490, 549, 715]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam3.csv
